y_mm,z_mm,r
-1.2123754118303007,-3.227879103772445,0.00014588204795
-1.2123753489083864,-3.229925644047619,0.00014546107559
-1.2123747322736362,-3.2320586202272334,0.0001442838693
-1.2123752104801784,-3.234215367523177,0.0001446113456
-1.2123736751854919,-3.2363744882029297,0.00014212672249
-1.2123710324651316,-3.23854730243741,0.0001432626741
-1.212371347074699,-3.2407099769798213,0.00014191848459
-1.2123725300066703,-3.2428954906815743,0.00014111884229
-1.2123732095633328,-3.2450968725043667,0.00014130963245
-1.2123739897950594,-3.2473113017250435,0.00014004328114
-1.2123724041628436,-3.2495238421795527,0.00013959636271
-1.2123734738353695,-3.2517604519766254,0.00014200508303
-1.2123769848781334,-3.254008369518533,0.00014317166642
-1.2123730207975938,-3.2562542616072427,0.00014294747962
-1.212374958792525,-3.2585045525329557,0.00014199782163
-1.2123744680015998,-3.260721454546183,0.00014210959489
-1.2123746064298095,-3.262950124069689,0.00014146923786
-1.2123723789940772,-3.2651808811768603,0.00013971688168
-1.2123746567673406,-3.2674064317509686,0.00013970844157
-1.212374254067094,-3.2696207491368057,0.00014159170678
-1.2123745938454265,-3.2718785827011017,0.00014262659533
-1.212374958792525,-3.274156608666881,0.00014265767823
-1.2123743295733915,-3.276421214451982,0.00014360055502
-1.2123751223894994,-3.278691175883263,0.00014252043911
-1.2123744680015998,-3.2809194850500663,0.0001426848321
-1.2123750594675853,-3.2831401770217274,0.00014196778648
-1.212374958792525,-3.2853496482312083,0.00014200083388
-1.212374921039377,-3.2875644005303064,0.00014220549201
-1.2123768590343067,-3.289771001312256,0.00014218085562
-1.2123743673265395,-3.291988711021543,0.00014320579066
-1.212375097220733,-3.2942201515638385,0.00014048060984
-1.212372743941174,-3.296445316929058,0.00014176104742
-1.212374581261045,-3.2986669905620825,0.00014204715262
-1.2123730585507415,-3.30086858362846,0.00014378951164
-1.2123726306817306,-3.303067964850248,0.00014233987895
-1.212374921039377,-3.3052707756737605,0.00014000986994
-1.2123750468832037,-3.3074629621875733,0.00014124487643
-1.2123769471249854,-3.3096500664292585,0.00013975592447
-1.2123747700267842,-3.3118732808978395,0.00014321546769
-1.212375512505361,-3.314126081894384,0.00014191452647
-1.212375890036841,-3.3163787834821803,0.00014317402383
-1.212373964626293,-3.318622078517408,0.00014362696675
-1.2123745686766618,-3.3208417888277024,0.00014208049106
-1.2123739017043804,-3.3230098438684803,0.00014146784088
-1.2123775511753543,-3.325177165769754,0.00014126469614
-1.2123733857446906,-3.3273449598625744,0.00014410295989
-1.212375562842892,-3.32951162318091,0.00014185470354
-1.2123742414827128,-3.3316663947280354,0.00014226633357
-1.2123725803441996,-3.3338550770835584,0.00014179944992
-1.2123742666514774,-3.3360356327741156,0.00014267099323
-1.210812859371928,-3.317854891521959,0.00014439685037
-1.2108083289941678,-3.3198543866081973,0.00014398955682
-1.2108108458707012,-3.321839802930816,0.00014316586021
-1.2108083667473155,-3.323858483904988,0.00014299208124
-1.2108102544047157,-3.325883328221396,0.00014442909742
-1.2108056736894242,-3.327914410436599,0.00014506500156
-1.2108081905659578,-3.3299423239980324,0.00014217519492
-1.2108049815483783,-3.3319731949696534,0.00014245847706
-1.2108067685307164,-3.3340176973655384,0.00014398494386
-1.2108056862738075,-3.336057030506639,0.00014444791304
-1.2108068943745431,-3.3381169288320236,0.00014351493155
-1.210804453004307,-3.3401955160016104,0.00014269002713
-1.2108026031000547,-3.342267417933045,0.00014059362002
-1.2108039999665297,-3.3443555856205074,0.0001408084936
-1.2108077123594174,-3.3464564403491472,0.00014342388022
-1.2108058372864006,-3.3485538281977782,0.00014320123591
-1.2108042013166536,-3.3506625362173317,0.00014247123909
-1.210806932127691,-3.3528046331493706,0.00014320071205
-1.2108041132259748,-3.354965033716722,0.0001474362507
-1.2108054975080682,-3.357136133150338,0.00014360714704
-1.2108057617801031,-3.35930489647843,0.00014606623154
-1.2108023639967829,-3.361449167976781,0.00014461971296
-1.2108023514124013,-3.3635705009070485,0.00014302658383
-1.2108028170345602,-3.3656897338275593,0.00014524962171
-1.2108043397448618,-3.367814086298479,0.00014581579308
-1.2108070705559009,-3.369937295568823,0.00014473954798
-1.2108026282688193,-3.37205646635887,0.0001445448579
-1.210802854787708,-3.3741961899071033,0.00014646658383
-1.210802653437584,-3.3763387714567763,0.00014470503083
-1.2108057491957216,-3.378485341782377,0.00014725426445
-1.2108076494375033,-3.380627997888609,0.00014613458188
-1.2108071334778152,-3.3827299336873575,0.00014474456839
-1.2108065420118295,-3.384853602723153,0.00014209533401
-1.2108034714224583,-3.3869722391911896,0.00014466216089
-1.2108028799564727,-3.3890929135385153,0.00014718090824
-1.2108038992914694,-3.3912122707199615,0.00014041576651
-1.2108049941327617,-3.393380549430416,0.00014118560648
-1.210803937044617,-3.3955777312337023,0.00014190292859
-1.2108045788481336,-3.3977769633423693,0.00014390099386
-1.2108061518959663,-3.3999719084488733,0.00014742907661
-1.2108055478455975,-3.4021517185738386,0.00014577382535
-1.210805057054674,-3.404255580417036,0.00014392813318
-1.2108052961579443,-3.4063640896190988,0.00014613907842
-1.210804025135296,-3.40846455913885,0.00014155046665
-1.2108045788481336,-3.4105664576593204,0.00014359316265
-1.2108044278355408,-3.4126520407193883,0.00014159364218
-1.2108045285106026,-3.414769608543412,0.00014544892474
-1.2108051828985007,-3.4168953030323976,0.00014568030019
-1.2108044907574549,-3.4190066205315275,0.00014529908367
-1.210804075472827,-3.4211208333103786,0.00014449891751
-1.209315921884788,-3.4019854325943593,0.0001450413838
-1.2093159470535544,-3.403862108175202,0.00014445724082
-1.2093124108420241,-3.405795521297692,0.00013555392798
-1.2093129897236266,-3.407755451703118,0.00013635489449
-1.209308597774076,-3.409728851993591,0.0001465096866
-1.209312033310544,-3.4117148026382162,0.00014717326849
-1.209309302499505,-3.4137012254743873,0.00014614796964
-1.2093113789226444,-3.4157051069715303,0.0001464477682
-1.2093101708219085,-3.417708019233405,0.00014652760001
-1.209310951053635,-3.4197042586832196,0.00014171008661
-1.209308874630494,-3.421700224758982,0.00014254455164
-1.2093069114667983,-3.423684473028838,0.00014146348985
-1.209312121401223,-3.4257009048801366,0.00014078831009
-1.2093094283433317,-3.427711943806977,8.7192849605e-05
-1.2093115551040021,-3.4297445792838346,8.2476384705e-05
-1.2093085851896928,-3.4317919396811556,9.1043737484e-05
-1.2093084845146307,-3.4338475758565674,0.00014419510262
-1.2093070876481558,-3.4359540844576193,0.00014490057947
-1.209305489431557,-3.4380550385950044,0.00014702958288
-1.209306961804329,-3.4401611371349845,0.00014556811948
-1.2093053635877302,-3.442275076539783,0.00014422099048
-1.209306848544884,-3.4443473264018296,0.00014182833547
-1.2093061941569858,-3.446408019997179,0.00014301140618
-1.2093082454113606,-3.44848095329435,0.00014434418699
-1.209308597774076,-3.4505482575712954,0.0001323766337
-1.2093063955071082,-3.45261799736251,7.9169411038e-05
-1.2093079685549426,-3.454686656083613,7.6822958363e-05
-1.209308396423952,-3.4567793965733786,9.2937589216e-05
-1.2093094912652442,-3.4588747838210017,0.0001493171585
-1.2093059047161847,-3.4609686550852516,0.00014764007938
-1.2093081069831508,-3.463058152364685,0.00014794104209
-1.2093055775222357,-3.4651277927471544,0.00014755791926
-1.2093067352854405,-3.4671976940775817,0.00014916600776
-1.2093074777640174,-3.469271310809881,0.00014689280943
