y_mm,z_mm,r
-1.1869153935415537,-3.2272030745968685,0.00014508621825
-1.1852834633815332,-3.2271994586037382,0.00014593001106
-1.1837594568872722,-3.227200800621808,0.00014832962188
-1.1822898526792878,-3.2272003905607325,0.00014637962158
-1.1808703343143216,-3.227195283436419,0.00014796038158
-1.1794768026995652,-3.2271981165856722,0.00014686697978
-1.1781011660769638,-3.2272003532824516,0.0001494580647
-1.1767469103205146,-3.2271970976460276,0.00014668592485
-1.1753676242269393,-3.227199545586392,0.00014776467287
-1.1739872936296012,-3.2271997071256044,0.0001460485073
-1.1726193964023413,-3.2271986384815876,0.00014518480748
-1.1712540789735257,-3.227202266900809,0.00014556321548
-1.1699015598618852,-3.2271995207342057,0.00014449744776
-1.1685742724374948,-3.227199843812631,0.00014366829419
-1.1672789115919329,-3.2271996574212323,0.00014526063751
-1.1659921584641144,-3.227197582263662,0.00014814939641
-1.1647094197543701,-3.2272000550562128,0.00014800381905
-1.1634361193316247,-3.227200477543383,0.00014363238006
-1.1621651218509075,-3.22720011718668,0.00014719899627
-1.1609069730248949,-3.2271981414378583,0.00014626426855
-1.1596407324408267,-3.2271987751686138,0.00014906020078
-1.1583760271514452,-3.227198054455205,0.00014681971516
-1.1571124292877373,-3.2271991106731304,0.00014705226931
-1.1558560045221502,-3.2271999804996536,0.0001462900691
-1.1545986107590975,-3.2272006018043142,0.00014644493058
-1.1533493590916328,-3.227199272212343,0.00014820598881
-1.1521330910911394,-3.2272008130478995,0.0001503702224
-1.1509080895290742,-3.2272001793171476,0.00014879833907
-1.149689996793095,-3.227198054455205,0.00014798728807
-1.1484748362182768,-3.227199545586392,0.00014498189557
-1.1472647345652909,-3.2271981290117635,0.00014501270198
-1.1460614536477116,-3.227197805933342,0.00014561373973
-1.1448413977480365,-3.227195581662654,0.00014849223953
-1.1435823554308537,-3.2271953455668827,0.00014828752319
-1.1423190092547992,-3.227200154464961,0.00014689317322
-1.1410632137083474,-3.227200154464961,0.00014623739116
-1.1398149687914945,-3.227197905342087,0.00014654404367
-1.1385643202575513,-3.227197880489901,0.00014663433831
-1.137347309778481,-3.2271994213254604,0.00014761982311
-1.1361709720241944,-3.2272004278390103,0.00014722753258
-1.1349904436704794,-3.2271998065343497,0.00014787253167
-1.1338099530699124,-3.227198054455205,0.0001456423779
-1.1326289716784201,-3.2272002041693337,0.00014633296814
-1.1314492487251964,-3.227201372222096,0.00014900362294
-1.1302740687341144,-3.227201981100665,0.00014684992493
-1.129099668974759,-3.2271972467591454,0.00014499231474
-1.1279136286614349,-3.227199868664817,0.00014731999545
-1.1267229195421404,-3.2271973585939855,0.00014797951735
-1.1255274409418154,-3.2271975449853842,0.00014625901531
-1.1243117014853952,-3.2271971846286815,0.00014589603234
-1.1231320792072317,-3.2271999432213763,0.00014639789879
-1.1219594915989808,-3.2271978307855282,0.00014652581012
-1.120781178096615,-3.2271977438028747,0.00014718898456
-1.1196053940551662,-3.227199222507967,0.000147243627
-1.1184332846534555,-3.2271996946995096,0.00014417109196
-1.1172580920779904,-3.2271966006022987,0.00014856809867
-1.1160796779005646,-3.227199794108255,0.00014803935483
-1.1149006848415344,-3.227201185830697,0.00014838352217
-1.1137063514200327,-3.2272028136489106,0.00014699052554
-1.1124844456161034,-3.2272005645260364,0.00014812502195
-1.1112615204771792,-3.2272014219264684,0.00014436816855
-1.110038960285352,-3.2271987006120515,0.00014664162882
-1.1088144369298287,-3.2272004278390103,0.0001508086425
-1.1075843764459317,-3.2272005520999416,0.00015038212587
-1.1094255597209595,-3.2290073930368868,0.00014732756244
-1.111148361708227,-3.2290066723234814,0.00014742663188
-1.112762862498253,-3.2290087350549563,0.0001479544153
-1.1142991639343791,-3.2290113321084384,0.00014970316261
-1.1157245717904347,-3.229008498959185,0.00014870215091
-1.1171294545183568,-3.2290075421500046,0.00014790863497
-1.118502272239242,-3.22900674688004,0.00014558208932
-1.1198612723079573,-3.22900868535058,0.00014621793525
-1.1212129860191065,-3.2290114563693697,0.00014777723118
-1.122536045090921,-3.229011804299981,0.00014974130318
-1.1238724939458944,-3.2290126244221318,0.00014778340119
-1.1252090938134607,-3.2290109717517357,0.00014499716053
-1.1265343929053908,-3.2290086232201163,0.00013859065075
-1.1278552119570895,-3.229010511986284,0.00013423038763
-1.1291735896385522,-3.2290062995406834,0.00014098285465
-1.1304706871289212,-3.2290094930466395,0.00014606530021
-1.1317736741103812,-3.2290091823943095,0.00015069078654
-1.133061748598379,-3.229008387124345,0.00014903576812
-1.1343474194692864,-3.2290082628634136,0.00014834481408
-1.1356372180177081,-3.2290084616809036,0.00014760458726
-1.1369190758206675,-3.229010673525497,0.00015015504323
-1.1382119575428438,-3.2290072687759555,0.00015073109535
-1.1395586626696923,-3.2290114439432784,0.0001481158688
-1.1408982576203326,-3.229009517898826,0.00014840303629
-1.1422312583544547,-3.2290079522110835,0.00014816508337
-1.143566738211964,-3.2290108847690817,0.00014997167455
-1.1448950953088806,-3.2290066101930135,0.00014683691552
-1.146157648668827,-3.229011133290945,0.00014632786042
-1.1474007591575508,-3.22901013920349,0.0001460671192
-1.1486352367597648,-3.2290073930368868,0.00014515958901
-1.1498705575156178,-3.2290093936378947,0.00014605536126
-1.1511013856468582,-3.229010946899549,0.0001393964194
-1.1523259719242938,-3.22900652321036,0.00013200676767
-1.153541434524296,-3.2290069705497166,0.00012282178795
-1.1547736469376297,-3.229005752792582,0.00013170180318
-1.1560062746355915,-3.229009232098682,0.00014905464195
-1.1572313517039505,-3.2290055912533693,0.00014996677055
-1.1584590589082886,-3.2290063865233374,0.00014660612214
-1.1596831166416546,-3.2290091451160317,0.00014786209795
-1.1609026817504062,-3.2290063865233374,0.00014699493477
-1.1621005765522028,-3.2290092942291495,0.00014774386364
-1.1633053801800852,-3.229009443342267,0.00014898668451
-1.164509151888588,-3.229009343933522,0.00014967407333
-1.1657059770178586,-3.2290079770632696,0.00014866006677
-1.1669025504594759,-3.229010698377683,0.00014897230722
-1.168093536435188,-3.2290065107842687,0.00014793714217
-1.1692889772823654,-3.229011120864853,0.00014759271289
-1.170523958259886,-3.2290082877155997,0.00014776001626
-1.1717542578470532,-3.2290111705692257,0.00014750177797
-1.1729837268649665,-3.2290067344539453,0.00014536414528
-1.1742110187846766,-3.2290087474810476,0.00014381684014
-1.1754259402562226,-3.229010673525497,0.00013204336574
-1.1766243761864754,-3.229008399550436,0.00010538500646
-1.1777887965303755,-3.2290072812020467,0.00011522858404
-1.178954878012787,-3.2290088717419794,0.00011495366198
-1.1801152084323208,-3.2290084244026227,0.00012552774569
-1.1812800314764653,-3.2290126741265044,0.00014637393178
-1.1824315276593653,-3.2290082628634136,0.00015023250307
-1.1835817402352338,-3.2290079646371748,0.00015049522335
-1.1847204129321955,-3.229011580630301,0.00014883757103
-1.1858739855382348,-3.229009343933522,0.00014924281277
-1.1870278098319291,-3.2290115060737423,0.00014976118109
-1.1881775693700203,-3.2290118167260724,0.00014943805581
-1.1893280462179234,-3.2290091823943095,0.00014956112136
-1.1875366215919665,-3.2308915491258485,0.00014415687474
-1.1858773329840242,-3.2308837206871215,0.00014677735453
-1.1843329146210784,-3.230888604141755,0.00014892987383
-1.1828687594507872,-3.230886951471359,0.00015070186055
-1.1814340013984113,-3.230889884029357,0.00013030291302
-1.1800396643831639,-3.23089026923825,8.3709062892e-05
-1.178664845745435,-3.230893574579046,7.7327167674e-05
-1.1773007741705046,-3.23088861656785,6.3287348894e-05
-1.175940024872599,-3.2308916609606886,6.1196085881e-05
-1.1745566111015082,-3.230890368646995,0.00013585182023
-1.1731855300254317,-3.230890169829501,0.00014650328376
-1.1718153424405253,-3.2308900952729425,0.00015025360335
-1.1704596143113037,-3.2308898218988933,0.00014932238264
-1.1691038987664653,-3.2308919716130187,0.00014768139226
-1.1677983823240903,-3.2308905923166717,0.00014641905727
-1.1665039149696983,-3.2308926550481467,0.00014629289217
-1.165214355524545,-3.2308937112660687,0.00014923668641
-1.1639277156561718,-3.230890430777459,0.00014761886268
-1.162648425067277,-3.2308944195533833,0.00014513570932
-1.161368329077893,-3.2308897349162398,0.00014603197633
-1.1601025415316004,-3.2308912384735184,0.00014346599346
-1.1588225210485101,-3.2308923941001892,0.00014636850392
-1.1575439351850445,-3.23089343789202,0.00015141782933
-1.1562665825910807,-3.230890368646995,0.00011711314437
-1.154989217412734,-3.230891337882267,7.9288409324e-05
-1.1537191008388052,-3.2308911763430546,7.2593000368e-05
-1.1524752856246507,-3.230891424864917,6.3690502429e-05
-1.1512344403248072,-3.2308949538753935,4.4488166168e-05
-1.1499857801233262,-3.2308958112758255,0.00012235309987
-1.1487496791357485,-3.23089026923825,0.00014668762742
-1.1475103313774437,-3.2308903189426226,0.00015122613695
-1.1462780560421957,-3.2308918473520873,0.00015052087838
-1.1450400044753055,-3.2308915366997573,0.00014639146684
-1.1437341985921274,-3.230892568065493,0.00014749456022
-1.1424360565979972,-3.230891611256316,0.00014818226919
-1.1411421303720581,-3.2308913627344533,0.0001497817866
-1.1398499156221633,-3.2308950905624196,0.00014853161701
-1.138555435683388,-3.2308920213173913,0.00014754837321
-1.1372997282276132,-3.230893897657468,0.00014376010222
-1.1360778601768335,-3.230890753855884,0.00014740884944
-1.1348616425138711,-3.2308927420308007,0.0001501176157
-1.133638805465626,-3.2308915118475707,0.00014703835768
-1.1324238839940781,-3.2308928041612646,0.00014806738182
-1.1312105984922771,-3.23089057989058,0.00012213073205
-1.1300017426931763,-3.2308914869953846,7.7891309047e-05
-1.1287997327982473,-3.230891325456172,7.0513437095e-05
-1.1275744921329118,-3.23089147456929,6.6169050115e-05
-1.1263576578351993,-3.230893462744206,5.6815362768e-05
-1.1251350347214577,-3.2308916361085025,0.00012069544027
-1.1239182885144239,-3.2308900331424786,0.00014582052245
-1.1227011773602933,-3.230890169829501,0.00014995926176
-1.121510984200689,-3.230891710665061,0.00014578776609
-1.1203127873737062,-3.230893263926716,0.00014671379176
-1.1191168053980745,-3.230890132551224,0.00014734514116
-1.1179172997952957,-3.2308905177601126,0.00014727201778
-1.1167212045602206,-3.23089147456929,0.00015002959117
-1.1155262419195855,-3.2308933881876474,0.0001507987181
-1.1143388550773157,-3.2308927296047054,0.00014969050244
-1.1131049941098519,-3.230892978126572,0.00014622240269
-1.1118699627948019,-3.2308886786983173,0.00014960223052
-1.110637511278198,-3.2308913875866394,0.00014708697563
-1.109407211691029,-3.2308907662819757,0.00014630937949
-1.1081690468646936,-3.230893077535317,0.00014569812629
-1.1069321656453912,-3.23089147456929,0.00014423872926
-1.1087725435199278,-3.2328221912295527,0.00014690162789
-1.1104867126206854,-3.23282029003729,0.00014979566913
-1.112102396342681,-3.232818612514704,0.00014550224296
-1.1136427625344103,-3.2328188734626617,0.00014519998513
-1.1150923324051865,-3.232816301261366,0.00014404200192
-1.116497995364835,-3.2328171338096117,0.00014472198382
-1.1178785650654433,-3.2328164255222975,0.00014630962687
-1.1192371624339121,-3.2328156799567056,0.00014509490575
-1.120585151167794,-3.2328184758276777,0.00014759460464
-1.121919334833887,-3.2328189604453152,0.00014857064525
-1.1232494411599954,-3.2328165622093237,0.00014574850502
-1.1245847070829977,-3.2328184509754916,0.00013623735867
-1.125919004008536,-3.2328159533307548,6.0662714532e-05
-1.1272454356949044,-3.232816015461222,6.7748391302e-05
-1.1285608182932914,-3.232818115470975,7.8317993029e-05
-1.129872891199037,-3.2328139900080246,7.8450204455e-05
-1.1311699761050245,-3.232814188825518,0.00011079322576
-1.1324698547439653,-3.2328144124951947,0.00015176751185
-1.1337597791362137,-3.2328195568977898,0.00014879481751
-1.1350512388231486,-3.2328170965313303,0.00014699339226
-1.1363384701575072,-3.2328160651655944,0.00014498172095
-1.13761930862547,-3.232819010149688,0.00014826723782
