y_mm,z_mm,r
-2.3737856972400087,-3.124953910312325,7.4735980888e-05
-2.246320070826658,-3.124948070048511,7.5736214058e-05
-2.119252979228027,-3.1249504310062215,7.7017262811e-05
-1.9953429191249676,-3.1249515866328923,0.00014538083633
-1.8688780909120688,-3.124951027458696,0.00014115474187
-1.7407761351891042,-3.1249500457973327,0.00014439022925
-1.6105447634904828,-3.1249520712505268,0.00014134579396
-1.480334508385979,-3.124952381902857,0.00014197373821
-1.3484926754841666,-3.1249527919639357,0.00013665591541
-1.2148179901686553,-3.1249502694670124,0.00013713173394
-1.08306754505378,-3.124950480710594,0.00013877963647
-0.9524374875278484,-3.1249501452060775,0.00013041267812
-0.8258665352159096,-3.1249534505468737,3.8988589949e-05
-0.7006980368460363,-3.1249500955017053,0.00013298120757
-0.5715890788219689,-3.1249536120860864,8.5326406406e-05
-0.4439201517066147,-3.124952742259563,0.0001246091997
-0.3179354806144181,-3.124953090190171,9.5224939287e-05
-0.18820140596569404,-3.1249486540748936,0.00012394688383
-0.058802830958900806,-3.1249501576321723,5.6542368839e-05
0.06920815226175471,-3.124952096102713,5.7434597693e-05
0.19917505057422297,-3.12494702625668,5.3321666201e-05
0.3266599185086719,-3.124949250527368,5.5290893215e-05
0.45365446114122193,-3.124945125064418,0.00011395139154
0.3251751627039532,-3.287748542805745,9.4426277428e-06
0.1984191318761125,-3.2877462439785017,5.2648352721e-05
0.07237190381767164,-3.2877472380659563,5.1612874813e-05
-0.05442221993650492,-3.287750928615645,5.799846258e-05
-0.1786411133746224,-3.287749760562883,2.3351578917e-12
-0.3020698460093896,-3.2877531528863293,0.00012171692651
-0.4274256629152786,-3.287753973008484,0.00010282300354
-0.5534320043144303,-3.2877504937023803,1.6641665844e-15
-0.6765441264656499,-3.287752320338084,9.9716635305e-05
-0.8028643978748411,-3.2877527801035353,5.8937206632e-05
-0.9318490851200623,-3.287753538095222,0.00011660091695
-1.0591614715056603,-3.287756458227129,0.00013155961642
-1.1880030743199443,-3.287755526270135,0.00013651805057
-1.3140391651997232,-3.287753326851637,0.00013519727509
-1.4379695742495566,-3.28775531502655,0.00013544298417
-1.5636573545858463,-3.287753451112568,0.00013895187294
-1.6879034932124406,-3.287758322141111,1.9685835552e-15
-1.8108215012610056,-3.2877556629571614,0.00014350662241
-1.9339010298611155,-3.2877537493388074,7.8077144281e-05
-2.056840985073052,-3.2877563836705668,7.3820345278e-05
-2.1776258395843056,-3.2877531901646107,7.6963202446e-05
-2.296363579982551,-3.287755749939815,7.9957964772e-05
-2.4153065213245832,-3.2877538114692713,7.5444520917e-05
-2.2863981206070974,-3.4479626857983026,7.4407900684e-05
-2.1586070494735674,-3.447955888725311,7.2221300798e-05
-2.033822790059701,-3.447956820682302,0.0001254841045
-1.9089910623544104,-3.44796078460604,2.719751091e-10
-1.7813255078536119,-3.4479600887448205,3.8362937826e-10
-1.6526450858125423,-3.4479574419869623,0.00013748845959
-1.5228856662171246,-3.4479549319161307,0.00013805647905
-1.392769894657692,-3.4479556650556313,0.00013889018737
-1.259801860182144,-3.447955863873125,0.00013594550546
-1.1276425610587635,-3.4479563857690403,0.00013147290156
-0.9972211400130875,-3.4479568455344882,0.00013445904187
-0.8690228005032684,-3.447952707645446,0.00012911348313
-0.7441124833282159,-3.4479517632623606,0.00012794727809
-0.6168853687195768,-3.447955006472693,0.00012662819063
-0.4876677445511679,-3.4479539254025813,0.00012556109868
-0.36288322086526664,-3.4479560129862428,0.00012260350923
-0.23412081157111325,-3.4479541863505387,0.00012215838069
-0.10591317220250314,-3.447949079226225,6.1303129769e-05
0.02220021013992282,-3.447952247879998,5.1963634178e-05
0.1498959671591242,-3.4479496135482353,5.3723473684e-05
0.2778946428535298,-3.44795063248788,4.9308382586e-05
0.40381721001725956,-3.447948408217192,3.8942968295e-10
0.5322720444146216,-3.447948582182496,0.00010821710021
0.40289746782557617,-3.6040005803985897,0.00010979388026
0.27668157128623444,-3.603995435995995,1.9685761437e-15
0.15076148324589048,-3.6039980951799446,4.4591139158e-05
0.024130201403439744,-3.6040006176768675,5.0882943469e-05
-0.10104699277485758,-3.6040012389815317,5.4214207921e-05
-0.22568865854871029,-3.604000679807335,1.9159253497e-05
-0.34851910446266965,-3.604001711173071,0.00011987717153
-0.47508921362097134,-3.604003997574226,0.00012020782015
-0.5990879684530763,-3.60400243188648,0.00012191093265
-0.723485698553291,-3.604003885739386,0.00012905616313
-0.8506939869254594,-3.604006855575666,0.00012572424021
-0.9796613203069786,-3.6040072283584634,0.0001284986065
-1.107644164847989,-3.6040024940169437,1.9685882139e-15
-1.2354950117991914,-3.6040047928441905,6.8807785283e-05
-1.3604945396629795,-3.604002419460385,0.00011812686716
-1.4848925717883785,-3.604004432487488,0.00013823818881
-1.6106667690804506,-3.6040028667997417,0.00013696217502
