y_mm,z_mm,r,n_y,n_z,start_x_mm,start_y_mm,start_z_mm
-3.832638865761599,-3.3299378257522876,0.00014400287182,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.6931966068566875,-3.3299326192192287,6.8500717251e-13,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.553781114933711,-3.329931674836143,0.00014562155411,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.417234220455553,-3.32993274348016,6.3405485662e-07,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.281396430771981,-3.329932917445464,0.00014555620146,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.1479949272354286,-3.329933004428118,0.00014293756976,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.014407829223286,-3.329929823348253,0.00014356437896,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.8794067248057877,-3.3299339239590173,0.00014609453501,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.7452496423494566,-3.3299350795856877,0.00014195541735,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.6104544436011747,-3.3299347937855406,0.00014181750885,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.4735982501658,-3.3299327807584413,7.1432070399e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.3347246040073646,-3.3299326192192287,7.3055052781e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.195225665042917,-3.3299341600547887,7.5113777712e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.057587893353172,-3.3299302706876097,3.6567441783e-12,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.9227255569233548,-3.329930718026966,0.00014018182992,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.7872528150122187,-3.3299316375578654,0.00013645592844,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.651758755156843,-3.329929425713269,0.00013758977002,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.5153285430747847,-3.329933041706399,1.1547624581e-06,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.3792675945333583,-3.329932706201882,0.00014106399613,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.2429608729984214,-3.329932147027686,0.00013029786351,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.1066738837755101,-3.329930109148397,0.00013777484128,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.9722450541598451,-3.329926915642441,0.00013869973191,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.8362241491240673,-3.329925859424515,0.00013646710431,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.7012129016941374,-3.329928568312837,0.00013373940601,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.5663126862724897,-3.329929115060939,0.00013166265853,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.4318327766475727,-3.3299293760088964,0.00013377750292,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.29684426919712564,-3.3299268659380683,0.0001338776201,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.16115297431219117,-3.3299243807194228,0.00013397900329,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.026277940240262282,-3.3299284316258144,6.7087836214e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
0.10881884323866303,-3.3299249523197108,6.3635503466e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.0309525601949346,-3.1815984053720525,6.608296826e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.1710708143836306,-3.1816006917732045,3.1222565765e-12,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.3086526233236492,-3.1816015615997313,0.00013251132623,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.4459535865956633,-3.1816023320175093,1.034849398e-12,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.5826855973428691,-3.1816038355747915,0.0001345747005,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.7194959458721832,-3.181604419601171,0.00013754550309,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.8553108193949179,-3.18160174799113,0.00013644211867,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.9917900979849996,-3.181602530835003,0.00013668001338,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.128682270170423,-3.181605500671283,0.00013619716628,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.2637239214688782,-3.181605488245188,9.4870607427e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.3983166626687966,-3.1816050036275536,0.00014001622912,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.5330380288439658,-3.1816037237399515,0.0001336246205,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.667755909145136,-3.1816055379495602,0.00013661153207,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.8022991685524032,-3.1816034379398075,0.00013816702995,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.9375297491878545,-3.1816051154623937,0.00013961998047,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.0709401750517182,-3.18160842080319,3.8363162647e-10,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.2030289387102444,-3.18160121366912,6.9499001256e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.3374083494551723,-3.1816028290612386,6.961433246e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.4715053540686447,-3.181603661609484,7.2565686423e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.6037392785812474,-3.1816070415068425,6.4146999344e-12,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.734669888918441,-3.1816064574804597,2.5680956242e-06,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.865144176955705,-3.1816056000800277,0.00014079928224,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.993071876731864,-3.181603761018233,8.2605060015e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.1208071487126428,-3.1816051154623937,0.00014377481421,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.2466248124624517,-3.1816040343922816,0.000144946418,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.3726862608733073,-3.1816047551056874,0.00014807267871,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.5016144316559648,-3.1816059728628256,0.00014677690342,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.8152554179534834,-3.181605612506123,0.00014718899911,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.939844090891921,-3.181605513097374,0.00014650440426,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.0646996282492207,-3.181602704800307,0.00014633702813,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.745861795285067,-3.0337200676068647,0.00014667448704,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.606674873504492,-3.033714364030077,0.00014904873387,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.469345268177524,-3.033716364631088,0.00014701543842,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.333746304908227,-3.033714202490868,0.00014286905935,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.200611363765352,-3.0337143516039853,0.00014346538228,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-3.067031879304724,-3.0337133450904323,0.00014508064487,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.933128183393417,-3.0337127113596805,0.00014459852537,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.798915540887608,-3.0337138545602564,0.00014414204634,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.6646758419590615,-3.0337139539690012,0.0001439996995,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.529262322152762,-3.0337139788211878,3.8204051034e-10,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.3910956917813886,-3.033711182950212,7.2839517088e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.252121999780742,-3.0337108101674177,7.4117531767e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-2.1128778693965575,-3.033713220829501,7.510746218e-05,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.976740332302213,-3.0337117421244084,0.00014176110562,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.8411791347653033,-3.03370889654906,0.00014218404249,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.704954450820981,-3.033711506028637,0.00014223452308,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.5681553149766227,-3.0337088095664067,0.00014159653801,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.4315521179704087,-3.03371043738462,0.0001037804177,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.2950917033699474,-3.033710772889137,0.00014201621525,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.1591222936280474,-3.0337101391583814,1.9655060728e-15,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-1.0252131486790452,-3.033707914887697,0.00013794227561,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.8895595566045869,-3.0337109717066304,0.00013843228226,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
-0.7544339045518211,-3.033708051574723,0.00013775988191,30,13,4.592361917605271,-1.149987554521283,-2.4749932741612928
