y_mm,z_mm,r
-2.8191828653560003,-3.015626110189764,0.00010679516708
-2.745123043459816,-3.0156227551445953,0.00011652557441
-2.670370350622689,-3.01562613504195,0.00011555617675
-2.5953451807320325,-3.015626122615859,8.5720776042e-06
-2.5210185950920483,-3.0156266693639604,6.6518427047e-05
-2.4439682330829915,-3.0156242089975014,6.7350651079e-05
-2.3666851229164863,-3.0156252155110543,6.8531924626e-05
-2.2904569615490518,-3.0156271912598758,6.4910840592e-05
-2.212879829865887,-3.0156287942258997,6.6879510996e-05
-2.1361597198111903,-3.0156287693737136,6.8274093792e-05
-2.0605958880048054,-3.015628843930276,3.7883129966e-10
-1.9858120739893408,-3.015627514338301,0.00013741511793
-1.9102881095072501,-3.015628756947622,0.00014124442532
-1.832896484208998,-3.0156284214431053,0.00014105052105
-1.7553089955788976,-3.0156270794250357,0.00014008220751
-1.6771522649831876,-3.0156289184868346,0.00014238814765
-1.5988942426913826,-3.015627290668621,1.9686578824e-15
-1.5197770342572932,-3.015629154582606,0.00014273897978
-1.4415900633900323,-3.015624867580443,0.00014554413792
-1.3630073388566228,-3.0156296764785213,0.00014609161008
-1.283425376586215,-3.0156270794250357,0.00014381665096
-1.2042522179867825,-3.0156295522175864,0.00014631508384
-1.1252292917476436,-3.015625464032917,0.00014809194545
-1.0467213058628997,-3.015629030321671,0.00014860185911
-0.9682459764511816,-3.0156261723202316,0.00014917568478
-0.8908088208564348,-3.0156266569378656,0.00015057581186
-0.814574392466431,-3.0156281356429613,0.00014895196364
-0.7391643544006343,-3.015624482371554,1.9686373418e-15
-0.6621293579228156,-3.0156238610668935,0.0001502756204
-0.5827251500575957,-3.015625327345891,0.00014650629601
-0.50345958433623,-3.015626445694284,3.7777193938e-05
-0.4267248386444905,-3.015624656336858,8.0407698988e-05
-0.35152390268110634,-3.0156211646046627,0.00013345114712
-0.27346264979669943,-3.0156238983451713,0.00014666547941
-0.1954215570933275,-3.0156243581106223,0.00014442543034
-0.11808321407129167,-3.0156234882840955,6.0903271315e-10
-0.040018324300294256,-3.0156236373972134,7.3737406638e-05
0.03692676934774486,-3.015622481770546,7.3617913586e-05
0.11375835186411623,-3.0156229042577127,6.8741544965e-05
0.03401296880038013,-3.1136466500991147,7.191667828e-05
-0.04271805191408996,-3.1136492968569693,7.237164391e-05
-0.1192883700618895,-3.113648451882632,7.2463612014e-05
-0.19596320150774665,-3.1136466873773925,4.8691779775e-12
-0.2721686354800832,-3.1136488495176127,0.00014237340656
-0.3470815400929573,-3.1136494956744594,0.00014559343981
-0.42435465825962393,-3.1136507382837837,0.00014701538021
-0.501131825905339,-3.1136512850318856,9.8929769592e-05
-0.576099283817081,-3.1136461282031993,0.00014797844051
-0.6507330416536099,-3.1136507382837837,0.00014263181947
-0.7269225941350204,-3.113648203360766,5.4886477308e-13
-0.8042828339828982,-3.1136497069180447,9.1989270004e-05
-0.881903029423552,-3.113645979090078,0.00014853960602
-0.9604552242446079,-3.1136492595786915,0.00010027190001
-1.0372878512647405,-3.113651123492673,0.00014976032253
-1.1150116665122838,-3.1136497814746034,0.00014848411956
-1.191894291284759,-3.113648501587005,0.00014969019685
-1.268108710506321,-3.1136499927181887,0.00014710600954
-1.3433501681818938,-3.1136501045530283,0.00014537709649
-1.4186089167992546,-3.113654515816123,0.00014710052346
-1.4944759315528804,-3.1136522045627815,0.00014419674699
-1.5700861242250124,-3.113651297457977,0.00014460516104
-1.6458661431412533,-3.113651943614827,0.00014343197108
-1.720432788465013,-3.1136542797203512,0.00014172327064
-1.7948468984864547,-3.113652875571818,0.00014181970619
-1.8690781322589605,-3.113654727059708,0.00014000707597
-1.9436838017533753,-3.113652999832749,2.0090632461e-05
-2.0186860806519595,-3.1136525649194877,0.00014056870714
-2.0919109665112607,-3.1136502039617735,0.00013379901065
-2.1654775686975327,-3.1136524158063663,4.2488478357e-05
-2.238362210602635,-3.1136514714232844,6.9958739914e-05
-2.3105549253954956,-3.1136521424323176,6.8030385592e-05
-2.383913356723671,-3.113652863145723,6.6402244556e-05
-2.455608736713487,-3.1136545530944004,6.7441753345e-05
-2.527339994778291,-3.113654428833469,6.5538952185e-05
-2.600417077063155,-3.1136552365295285,6.4680702053e-05
-2.672781052719746,-3.113654801616267,0.00011695921421
-2.7450422643074694,-3.1136554477731138,0.00011534700025
-2.816582755715405,-3.1136553856426463,0.00011573656957
-2.7397557287455587,-3.2119049260239603,0.00011897396325
-2.664692667278689,-3.211899160316705,0.00011913719209
-2.5896146807339733,-3.2119009869524087,6.4845851739e-05
-2.5152372793567754,-3.2118989614992146,6.6810258431e-05
-2.4381002738730477,-3.211899918308392,6.8580950028e-05
-2.361165071549787,-3.2118991106123325,6.8324719905e-05
-2.284940710665918,-3.211903161518724,7.2526090662e-05
-2.207178890582716,-3.2119017200919093,7.0985493949e-05
