y_mm,z_mm,r,n_y,n_z,start_x_mm,start_y_mm,start_z_mm
-1.1492481968707648,-2.5016636217105837,6.6524531576e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1483874376806475,-2.501659719917313,6.8480010668e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1475184608886468,-2.501656290315582,6.9298512244e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1466592747463624,-2.501654550662532,6.6957443778e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1457994468005612,-2.501654948297516,6.5324442403e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1449510203054587,-2.50165708558555,6.635326281e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1440545088841798,-2.501656687950566,6.6201122536e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1431605269238179,-2.5016557808457613,6.8306610046e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1422760461723709,-2.5016545755147184,6.5287094912e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1413902188919782,-2.501653979062244,6.6924840212e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1405099664931073,-2.501654724627836,6.5200743848e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1396302174695432,-2.501658365473152,6.5100932261e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1387556657960207,-2.501655793271853,6.777831004e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.137878622414731,-2.5016550228540746,6.873246457e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1370318696425215,-2.501658266064407,6.5534855821e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1362271738771905,-2.501656948898524,6.6454900661e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1353989453162707,-2.501655370784686,6.6410109866e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1345705028208437,-2.501656203332932,6.7939865403e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1337497745519935,-2.5016596577868455,6.8001914769e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1329256107466736,-2.5016574583683475,6.7008106271e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1321005156970376,-2.501657110437736,6.7885193857e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.131282153292128,-2.5016581666556585,6.5671578341e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1304607454666136,-2.5016570358811774,6.6653512476e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1296531175401212,-2.5016593595606103,6.9355875894e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1288041373321809,-2.501658154229567,6.8699162512e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1280032923879462,-2.501655830550134,6.8415873102e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1271775303660272,-2.501659980865271,6.9705907663e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1263509755280021,-2.5016580051164494,6.9236950367e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1255049526499878,-2.5016574459422527,6.7619585025e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1247027611768075,-2.501655445341245,6.49802314e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.123883379436903,-2.501659682639032,6.6328786488e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1230593414754095,-2.501658688551574,6.9021822128e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1222418851460532,-2.5016585021601747,6.0245471104e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1214375543278192,-2.5016583530470573,5.7088684116e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1206264153585614,-2.501655221671565,4.2209627281e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1198164089837452,-2.5016581915078446,5.3372470575e-05,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1190049050673907,-2.501658141803472,1.8253111696e-12,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1181968870250334,-2.5016549855757937,2.9783944408e-12,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
-1.1173844015268317,-2.5016573092552266,0.00014646573982,177,74,4.592431190635573,-1.0750552573747172,-2.4699987551043483
