y_mm,z_mm,r,n_y,n_z,start_x_mm,start_y_mm,start_z_mm
-2.02260095625619,-4.940368143291188,0.00013696674432,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9960204874565866,-4.94036983323987,0.00013336380653,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9694602165911643,-4.940368453943522,0.00010209434549,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9429242587530575,-4.940366602455632,7.5157018728e-05,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9166284738581716,-4.94036983323987,7.0845810114e-05,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.8901194088458277,-4.940369783535494,1.9685704262e-15,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.863492856036892,-4.940370504248903,1.1282146007e-12,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.836261233524891,-4.940368081160725,0.00013725456665,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.8091061743970416,-4.940371858693063,0.00013752045925,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7821310341882002,-4.940369820813775,0.00013680648408,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7554276411386929,-4.940369870518147,0.00013848599338,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.728827125417498,-4.940372591832564,0.00013745033357,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7019086400994285,-4.940372405441165,0.00013620770187,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.675121648995857,-4.940370119040013,0.00013633845083,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6481019223192217,-4.94037208236274,0.00013876189769,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6211950901395025,-4.940371672301665,0.00013868010137,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.5944698254329193,-4.940369845665961,0.00012631627033,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.5673963131047595,-4.940370106613918,9.6006486274e-05,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.540439344744491,-4.940372343310698,0.00010859132453,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.568436953460737,-4.910866485549374,0.00013759851572,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.595732378792866,-4.9108667340712415,0.0001377864246,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.622629898529411,-4.91086874709834,0.00013974300236,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6493828992153945,-4.910867330523716,0.00013862045307,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6763914887133695,-4.910864721044138,0.00013817402942,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7032626693369892,-4.910865168383495,0.00013826922805,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7302744175150124,-4.91086689561045,0.00013860987383,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7570546759738577,-4.91086464648758,0.00013611164468,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7836733257904758,-4.910864373113527,0.00013634377683,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.8101128872573449,-4.910864658913671,0.00013631160255,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.8362824885472164,-4.910867305671529,0.00013663897698,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.862718501218174,-4.910862496773451,0.00013524787209,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.8890363465358766,-4.910863689678399,0.0001271579531,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9157131362004218,-4.9108665973842145,0.0001064904136,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9421824723166847,-4.910866125192672,9.280910308e-05,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.968464313715574,-4.910866920462636,0.00010073366138,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9944727468166144,-4.91086464648758,0.00012725172564,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-2.0204932609250177,-4.91086781514135,0.00013779503934,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-2.0464869577139533,-4.910863938200265,0.0001393428247,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-2.0189465144512773,-4.882168932725965,0.00013894993754,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9921466369398535,-4.8821664226551365,0.0001398469758,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9657631388977705,-4.882166348098575,0.00013942598889,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9392728371999834,-4.882166261115924,0.00013719745039,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.9131195830231988,-4.882166149281084,0.00013719491835,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.8866865402665505,-4.8821670439597975,0.00013777466665,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.860220413167869,-4.882167329759941,0.00013801419118,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.833246795669331,-4.882170709657297,0.00013920574565,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.8062723476015354,-4.882165739220009,0.00013704423327,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.779422774362955,-4.882164794836923,0.00013873167336,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7526391055364081,-4.882164981228322,0.00013990540174,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7261140583580743,-4.8821663605246695,0.00013916454918,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6992188667323236,-4.882165167619721,0.00013751069491,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6724188633770731,-4.882163067609965,0.00013945522369,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6454379595209692,-4.8821657267939145,0.0001406296069,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6184747241381314,-4.88216535401112,0.00013892086281,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.5918045916120167,-4.882166000167967,0.00013892706193,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.564825713841523,-4.882168125029906,0.00013729196507,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.5378398894917953,-4.882166522063882,0.00013961314107,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.5658990610080536,-4.853445744872242,0.00013924807718,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.5931617921140107,-4.853444216462776,0.00013916833268,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.619907644870638,-4.853446266768157,0.00013881208724,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.6466603309470558,-4.853446552568301,0.00013939484779,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.673523470150153,-4.853444837767437,0.00013954911265,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
-1.7002612940706392,-4.8534460306723854,0.00013719662093,19,10,4.5924422717875855,-1.8000330987653512,-4.819958865069241
